R#	PLAYER	POS	TEAM	GP	MPG	FG%	FT%	3PM	PTS	TREB	AST	STL	BLK	TO
1	James Harden 	PG,SG	HOU	64	36.3	-0.55	5.01	3.61	3.27	0.76	3.27	2.22	0.91	-3.55
2	Anthony Davis 	PF,C	LAL	65	34.8	1.89	2.88	-0.23	2.05	1.88	0.46	1.52	4.32	-1.14
3	Karl-Anthony Towns 	C	MIN	69	33.1	1.74	0.93	1.96	1.82	2.56	0.73	0.51	2.38	-2.17
4	Stephen Curry	PG,SG	GSW	65	33.1	0.02	4.18	2.88	2.00	0.27	2.21	0.70	-0.14	-2.60
5	Damian Lillard	PG	POR	67	35.9	-0.11	4.24	2.77	2.38	-0.23	2.91	0.56	-0.65	-1.65
6	Kawhi Leonard	SG,SF	LAC	60	32.1	0.76	3.03	0.75	2.11	0.87	1.34	2.15	0.14	-1.19
7	Nikola Jokic	PF,C	DEN	70	32.3	2.24	0.92	-0.32	1.13	2.25	2.70	1.02	0.48	-1.97
8	Trae Young	PG	ATL	68	34.1	-0.64	3.80	2.18	2.09	-0.51	3.97	0.29	-1.03	-2.76
9	Luka Doncic	PG,SG	DAL	67	34.1	0.33	-0.11	1.58	2.49	1.93	3.66	0.51	-0.53	-3.10
10	Devin Booker	SG,SF	PHX	70	35.6	0.72	4.67	0.77	2.07	-0.20	2.24	-0.05	-0.55	-2.56
11	Joel Embiid	PF,C	PHI	60	30.7	0.77	1.59	-0.43	1.64	2.99	0.39	0.12	2.42	-1.96
12	Kyrie Irving	PG	BRO	60	32.2	0.92	2.87	1.07	1.75	-0.24	2.01	1.04	-0.14	-1.17
13	Giannis Antetokounmpo	PF,C	MIL	69	30.8	4.14	-4.70	0.11	2.55	3.65	1.80	0.29	1.15	-2.57
14	Paul George	SF,PF	LAC	63	33.2	-1.19	2.33	2.45	1.65	0.65	0.83	1.86	-0.22	-1.57
15	Deandre Ayton	C	PHX	67	32.5	3.45	-0.14	-1.49	0.89	2.80	-0.23	-0.17	2.64	-0.58
16	LeBron James 	PG,SG,SF	LAL	59	34.1	1.65	-2.03	0.74	1.82	1.23	4.19	0.70	-0.10	-2.67
17	Jimmy Butler	SF,PF	MIA	64	33.4	-0.12	2.57	-0.83	1.04	0.72	1.94	2.15	0.14	-1.02
18	Jayson Tatum	SF,PF	BOS	70	34.6	-0.25	0.89	1.69	1.67	0.95	0.55	1.26	0.77	-1.00
19	Bam Adebayo	PF,C	MIA	65	34.5	3.16	-1.24	-1.73	0.70	2.43	1.61	0.63	1.99	-1.60
20	Kristaps Porzingis 	PF,C	DAL	55	30.8	-0.80	0.56	1.23	1.13	1.86	-0.33	-0.48	3.55	-0.09
21	Jusuf Nurkic 	C	POR	60	30.1	1.18	0.28	-1.27	0.39	2.03	0.63	0.85	2.45	-0.68
22	Kevin Durant	SF,PF	BRO	62	30.6	0.77	2.46	0.77	1.68	0.45	0.89	-0.51	0.29	-2.20
23	Nikola Vucevic	C	ORL	69	31.6	1.13	0.23	0.27	0.96	2.37	0.62	-0.02	0.62	0.21
24	Khris Middleton	SF,PF	MIL	67	31.1	0.54	2.25	1.11	1.15	0.69	1.14	0.48	-1.03	-0.86
25	Bradley Beal	SG,SF	WAS	60	35.0	-0.56	2.23	1.50	2.06	-0.42	1.43	0.58	-0.36	-1.95
26	John Collins	PF,C	ATL	65	31.1	3.04	0.23	-0.12	0.83	1.46	-0.50	-0.31	1.42	-0.39
27	Zach LaVine	SG,SF	CHI	68	35.0	-0.24	0.85	1.81	1.89	0.02	0.99	1.23	-0.07	-2.16
28	Rudy Gobert	C	UTA	67	34.8	4.77	-3.82	-1.73	0.31	3.62	-0.49	-0.44	3.77	-0.44
29	Russell Westbrook	PG	WAS	67	35.8	0.20	-0.88	-0.67	1.87	1.47	3.53	1.45	-0.38	-3.08
30	Ben Simmons	PG	PHI	65	35.2	3.07	-3.17	-1.70	0.55	1.31	3.12	2.97	0.19	-2.31
