,JJ,JV,DL,AD,BL,WCJ,TH,RH,DD
pts_avg,16.26923077,14.91428571,29.96969697,26.09677419,11.95588235,11.25581395,19.59722222,12.25,22.52272727
pts_stdev,6.613259945,7.042205128,11.67225368,9.1223046,5.811838384,4.549945173,6.74672703,6.1316059,7.171562009
ast_avg,2.530769231,1.871428571,8.03030303,3.225806452,1.455882353,1.186046512,3.152777778,0.954545455,5.588235294
ast_stdev,1.550128836,1.739634022,2.616785542,1.688856789,1.27687375,1.062156953,1.487538256,1.14722086,2.590907711
blk_avg,0.123076923,1.085714286,0.333333333,2.306451613,2.397058824,0.837209302,0.555555556,1.272727273,0.294117647
blk_stdev,0.351160376,1.27327314,0.611340636,1.65186805,1.926133783,1.119182271,0.77975938,0.985431063,0.570315277
stl_avg,0.423076923,0.428571429,1.060606061,1.467741935,0.676470588,0.76744186,0.736111111,0.931818182,1.029411765
stl_stdev,0.642894711,0.667006716,0.90250137,1.146069608,0.961634278,0.910844466,0.78161257,0.938996739,0.954410632
reb_avg,2.530769231,11.25714286,4.303030303,9.306451613,4.588235294,9.418604651,6.875,8.136363636,5.514705882
reb_stdev,1.78536125,4.318351915,2.3739093,3.280385056,2.602234866,2.935211716,2.748421264,3.558542277,2.124732835
tpm_avg,2.869230769,0.457142857,4.090909091,1.161290323,1.5,0.139534884,1.819444444,0,0.132352941
tpm_stdev,1.684264101,0.805085874,2.626942414,1.272456963,1.289094529,0.408137878,1.407582531,0,0.450633925
fgp_avg,0.452617188,0.581371429,0.455772727,0.49816129,0.432823529,0.531,0.472375,0.616454545,0.530073529
fgp_stdev,0.152312083,0.199002238,0.11279598,0.120150604,0.152741317,0.163255685,0.122405001,0.221601142,0.137509606
ftp_avg,0.895087379,0.727118644,0.870107692,0.828806452,0.830604651,0.752972222,0.789131148,0.781166667,0.835268657
ftp_stdev,0.165554854,0.335512362,0.169302653,0.162452558,0.258109148,0.260378302,0.273181107,0.251882744,0.173548443
to_avg,1.369230769,1.814285714,2.939393939,2.483870968,1.029411765,1.674418605,1.444444444,1.181818182,2.411764706
to_stdev,1.241205751,1.344755497,1.622556792,1.682374814,1.070604395,1.233654624,1.234783932,1.336085314,1.331024529
