PLAYER	POS	TEAM	GP	MPG	FGM	FGA	FTM	FTA	3PM	PTS	TREB	AST	STL	BLK	TO	TOTAL
James Harden	PG,SG	HOU	64	36.3	9.5	21.6	10.4	12.1	4.5	34.0	6.6	8.0	1.7	0.8	4.6
Anthony Davis	PF,C	LAL	65	34.8	9.0	17.9	7.3	8.6	1.3	26.6	9.4	3.2	1.5	2.3	2.5
Karl-Anthony Towns	C	MIN	69	33.1	8.4	16.8	5.0	6.2	3.3	25.1	11.1	3.7	1.1	1.5	3.4
Damian Lillard	PG	POR	67	35.9	9.0	19.6	6.8	7.6	4.0	28.7	4.2	7.7	1.1	0.3	3.0
Kawhi Leonard	SG,SF	LAC	60	32.1	9.3	19.7	6.1	7.1	2.2	27.0	6.9	4.8	1.8	0.6	2.6
Stephen Curry	PG,SG	GSW	65	33.1	7.9	17.5	6.2	6.8	4.1	26.0	5.4	6.4	1.2	0.5	3.8
Nikola Jokic	PF,C	DEN	70	32.3	7.9	15.2	3.5	4.3	1.2	20.6	10.3	7.3	1.3	0.7	3.2
Kyrie Irving	PG	BRO	60	32.2	9.0	18.8	4.2	4.6	2.5	24.6	4.2	6.1	1.3	0.5	2.6
Joel Embiid	PF,C	PHI	60	30.7	7.8	16.3	7.2	8.9	1.1	23.9	12.2	3.1	0.9	1.5	3.2
Trae Young	PG	ATL	68	34.1	7.8	17.6	7.8	9.0	3.4	26.8	3.5	9.6	1.0	0.1	3.9
Jayson Tatum	SF,PF	BOS	70	34.6	9.0	19.7	3.9	4.8	3.1	24.9	7.1	4.2	1.4	0.9	2.4
Deandre Ayton	C	PHX	67	32.5	8.4	15.2	2.1	2.8	0.2	19.1	11.7	2.0	0.8	1.6	2.1
Devin Booker	SG,SF	PHX	70	35.6	8.9	18.8	6.7	7.3	2.2	26.7	4.3	6.5	0.9	0.3	3.7
Paul George	SF,PF	LAC	63	33.2	7.9	18.3	4.5	5.1	3.7	24.0	6.4	3.9	1.7	0.4	2.9
Luka Doncic	PG,SG	DAL	67	34.1	9.6	20.7	7.2	9.4	2.9	29.4	9.5	9.1	1.1	0.3	4.2
Kristaps Porzingis	PF,C	DAL	55	30.8	7.0	16.1	4.0	5.0	2.6	20.7	9.4	1.8	0.7	2.0	1.6
Jimmy Butler	SF,PF	MIA	64	33.4	5.9	12.9	7.5	9.0	0.8	20.1	6.5	5.9	1.8	0.6	2.4
Giannis Antetokounmpo	PF,C	MIL	69	30.8	10.8	19.8	6.6	10.0	1.6	29.8	13.8	5.7	1.0	1.0	3.8
Nikola Vucevic	C	ORL	69	31.6	7.9	16.1	2.1	2.6	1.8	19.5	10.6	3.5	0.9	0.8	1.4
Bam Adebayo	PF,C	MIA	65	34.5	6.9	12.3	4.0	5.5	0.0	17.9	10.8	5.3	1.2	1.4	2.9
Jusuf Nurkic	C	POR	60	30.1	6.0	12.1	3.4	4.3	0.4	15.8	9.8	3.6	1.2	1.6	2.1
John Collins	PF,C	ATL	65	31.1	7.6	13.8	2.1	2.6	1.4	18.7	8.4	1.5	0.8	1.1	1.9
LeBron James	PG,SG,SF	LAL	59	34.1	9.5	19.1	4.0	5.8	2.2	25.1	7.8	10.0	1.2	0.5	3.8
Rudy Gobert	C	UTA	67	34.8	5.8	8.3	3.8	6.0	0.0	15.3	13.7	1.5	0.7	2.1	1.9
Khris Middleton	SF,PF	MIL	67	31.1	7.4	15.7	3.5	3.9	2.5	20.8	6.5	4.5	1.1	0.1	2.3
Chris Paul	PG	PHX	61	28.5	5.8	12.0	3.3	3.7	1.7	16.5	4.6	6.4	1.5	0.2	2.2
Christian Wood	PF,C	HOU	67	31.4	6.8	12.7	4.0	5.3	1.4	18.9	9.7	1.6	0.7	1.3	1.9
Shai Gilgeous-Alexander	SG,SF	OKL	68	34.9	7.6	16.5	4.4	5.4	1.6	21.2	6.3	4.8	1.3	0.7	2.4
Fred VanVleet	PG,SG	TOR	67	35.6	6.1	14.8	3.2	3.8	2.8	18.2	3.8	6.8	1.9	0.3	2.3
Brook Lopez	C	MIL	68	27.7	4.5	10.3	2.0	2.3	1.8	12.7	4.6	1.6	0.7	2.4	1.0
Kevin Durant	SF,PF	BRO	62	30.6	8.4	17.5	5.3	6.2	2.2	24.2	5.9	4.0	0.7	0.7	3.4
Bradley Beal	SG,SF	WAS	60	35.0	8.7	19.4	6.4	7.7	2.8	26.6	3.7	5.0	1.1	0.4	3.2
Kyle Lowry	PG	TOR	60	33.9	5.4	13.0	4.8	5.7	2.6	18.1	4.6	7.2	1.4	0.4	2.9
LaMarcus Aldridge	PF,C	SAS	58	30.9	6.3	13.0	2.8	3.4	1.3	16.6	7.0	2.3	0.7	1.5	1.5
Zach LaVine	SG,SF	CHI	68	35.0	9.0	19.8	4.4	5.5	3.1	25.5	4.8	4.2	1.4	0.5	3.4
DeMar DeRozan	SG,SF	SAS	70	33.6	7.7	15.2	5.5	6.5	0.1	21.0	5.4	5.3	1.0	0.3	2.4
Donovan Mitchell	PG,SG	UTA	70	34.9	9.3	20.5	4.2	4.9	2.8	25.6	4.6	4.8	1.1	0.2	3.0
Ben Simmons	PG	PHI	65	35.2	6.8	12.0	3.3	5.2	0.0	16.9	8.0	8.1	2.1	0.6	3.5
Myles Turner	PF,C	IND	70	29.8	4.6	9.8	2.1	2.8	1.5	12.8	6.8	1.2	0.8	2.2	1.4
Jaren Jackson Jr.	PF,C	MEM	58	30.1	6.8	14.4	2.5	3.5	2.8	18.8	5.0	1.5	0.8	1.8	1.9
Pascal Siakam	PF,C	TOR	67	35.1	8.0	17.8	3.9	4.9	2.3	22.3	7.1	3.3	1.0	0.9	2.4
Robert Covington	PF,C	POR	64	33.8	4.3	10.2	1.2	1.5	2.5	12.3	7.0	1.4	1.6	1.2	1.8
Mitchell Robinson	C	NYK	68	23.2	4.2	6.0	1.3	2.4	0.0	9.7	7.3	0.6	0.9	2.0	0.7
