PLAYER	POS	TEAM	GP	MPG	FG%	FGM	FGA	zFG%	FT%	FTM	FTA	zFT%	3PM	z3PM	PTS	zPTS	REB	zREB	AST	zAST	STL	zSTL	BLK	zBLK	TO	zTO	TOTAL
1	Stephen Curry	PG	GSW	15	34.6	0.528	10.9	20.6		2.12	0.908	5.3	5.9		2.51	5.1	3.99	32.2	2.79	6.7	0.77	6.6	1.93	1.1	0.65	0.1	-0.85	2.7	-1.29	12.61
2	Shai Gilgeous-Alexander	PG,SG	OKL	15	35.7	0.534	11.4	21.3		2.44	0.906	7.1	7.9		3.31	1.2	-0.21	31.1	2.64	4.6	-0.04	5.9	1.58	1.8	2.18	1.4	1.92	3.2	-1.83	11.98
3	Kevin Durant	SF,PF	BRO	16	36.7	0.527	10.3	19.4		1.99	0.913	8.6	9.4		4.15	1.6	0.17	30.6	2.57	6.6	0.74	5.2	1.24	0.8	0.00	1.8	2.78	3.2	-1.83	11.79
4	Luka Doncic	PG,SG	DAL	14	37.0	0.497	11.6	23.3		1.14	0.770	8.9	11.5		-0.37	2.3	0.95	34.3	3.08	9.1	1.70	8.1	2.67	2.0	2.61	0.6	0.21	3.1	-1.72	10.28
5	Anthony Davis	PF,C	LAL	13	34.5	0.548	9.7	17.7		2.44	0.803	5.6	7.0		0.53	0.3	-1.17	25.3	1.83	11.5	2.63	2.5	-0.10	1.3	1.09	2.0	3.20	1.8	-0.32	10.14
6	Jayson Tatum	SF,PF	BOS	16	37.3	0.473	9.8	20.6		0.15	0.869	7.4	8.6		2.55	3.4	2.12	30.3	2.52	7.4	1.05	4.5	0.89	0.8	0.00	1.3	1.71	2.4	-0.97	10.02
7	Nikola Jokic	C	DEN	13	31.1	0.606	7.9	13.1		3.13	0.876	4.3	4.9		1.58	0.6	-0.83	20.8	1.21	9.5	1.86	8.9	3.06	1.5	1.52	0.6	0.21	3.2	-1.83	9.91
8	Donovan Mitchell	PG,SG	CLE	13	39.0	0.500	10.9	21.7		1.19	0.889	5.5	6.2		2.27	3.9	2.69	31.2	2.65	4.5	-0.08	5.8	1.53	1.4	1.31	0.5	0.00	3.5	-2.15	9.42
9	Joel Embiid	PF,C	PHI	12	35.4	0.521	10.5	20.2		1.82	0.836	10.2	12.2		2.26	1.1	-0.34	32.3	2.80	10.1	2.09	4.6	0.94	0.8	0.00	1.8	2.78	4.4	-3.12	9.23
10	James Harden	PG,SG	PHI	9	36.7	0.441	7.0	15.9		-0.75	0.929	5.8	6.2		3.10	2.2	0.88	22.0	1.37	7.0	0.89	10.0	3.61	1.1	0.65	0.7	0.43	2.9	-1.51	8.67
11	Tyrese Haliburton	PG,SG	IND	15	34.1	0.494	7.5	15.1		0.68	0.853	2.7	3.2		0.78	2.9	1.64	20.6	1.18	4.6	-0.04	10.4	3.81	1.9	2.40	0.3	-0.43	2.9	-1.51	8.51
12	Kyrie Irving	PG,SG	BRO	8	38.7	0.453	9.8	21.5		-0.55	0.926	4.8	5.1		2.50	2.6	1.32	26.9	2.05	5.1	0.15	5.1	1.19	1.5	1.52	1.1	1.28	2.4	-0.97	8.49
13	Myles Turner	C	IND	10	28.9	0.547	5.8	10.6		1.48	0.831	5.4	6.5		1.10	1.2	-0.21	18.2	0.85	8.9	1.63	1.4	-0.64	0.4	-0.87	3.0	5.34	1.9	-0.43	8.23
14	Jimmy Butler	SF,PF	MIA	13	35.7	0.483	6.5	13.5		0.37	0.901	7.0	7.8		3.14	0.9	-0.59	20.9	1.22	6.6	0.74	6.1	1.68	1.8	2.18	0.2	-0.64	1.7	-0.22	7.87
15	Devin Booker	SG,SF	PHX	15	37.1	0.481	9.9	20.5		0.44	0.893	6.1	6.8		2.56	2.3	0.93	28.1	2.22	4.8	0.04	6.1	1.68	1.1	0.65	0.6	0.21	2.6	-1.18	7.55
16	De'Aaron Fox	PG	SAC	13	31.9	0.554	9.5	17.2		2.55	0.822	3.9	4.8		0.67	1.9	0.48	24.8	1.76	4.8	0.04	6.4	1.83	1.2	0.87	0.5	0.00	2.8	-1.40	6.80
17	Dejounte Murray	PG,SG	ATL	16	36.6	0.453	8.6	18.9		-0.48	0.876	2.2	2.5		0.80	1.8	0.37	21.1	1.25	6.3	0.62	7.4	2.32	2.1	2.83	0.4	-0.21	2.3	-0.86	6.64
18	Brook Lopez	C	MIL	15	31.6	0.498	6.1	12.2		0.64	0.812	1.7	2.1		0.23	2.5	1.14	16.3	0.58	6.1	0.54	1.1	-0.79	0.7	-0.22	2.6	4.49	1.5	0.00	6.62
19	Karl-Anthony Towns	PF,C	MIN	16	34.2	0.515	7.6	14.7		1.19	0.902	4.1	4.5		1.84	2.1	0.71	21.3	1.28	8.9	1.63	5.1	1.19	0.7	-0.22	0.6	0.21	2.9	-1.51	6.31
20	Kristaps Porzingis	PF,C	WAS	15	31.9	0.479	7.1	14.9		0.30	0.796	4.4	5.5		0.29	2.3	0.93	20.9	1.22	8.8	1.59	2.7	0.00	0.8	0.00	1.4	1.92	1.7	-0.22	6.04
21	OG Anunoby	SG,SF	TOR	17	36.3	0.474	7.0	14.8		0.17	0.841	3.1	3.7		0.76	1.7	0.27	18.8	0.93	6.2	0.58	2.1	-0.30	2.5	3.70	0.9	0.85	2.5	-1.08	5.89
22	Lauri Markkanen	SF,PF	UTA	18	33.0	0.546	8.3	15.2		2.05	0.813	3.6	4.4		0.49	2.1	0.76	22.3	1.41	8.3	1.39	2.3	-0.20	0.6	-0.44	0.9	0.85	2.0	-0.54	5.79
23	Fred VanVleet	PG	TOR	12	37.4	0.382	5.9	15.5		-2.30	0.855	3.4	4.0		1.00	3.3	1.98	18.5	0.89	3.3	-0.54	6.8	2.03	2.0	2.61	0.6	0.21	1.6	-0.11	5.77
24	Desmond Bane	SG,SF	MEM	12	33.5	0.465	8.3	17.8		-0.10	0.912	4.3	4.8		2.09	3.8	2.60	24.7	1.75	4.9	0.08	4.8	1.04	0.6	-0.44	0.3	-0.43	2.3	-0.86	5.73
25	Bradley Beal	SG	WAS	11	36.5	0.514	8.4	16.3		1.29	0.934	3.8	4.1		2.10	1.8	0.45	22.4	1.43	3.6	-0.43	5.9	1.58	0.9	0.22	0.7	0.43	2.9	-1.51	5.57
26	Mikal Bridges	SG,SF	PHX	15	37.0	0.545	6.0	11.0		1.50	0.882	2.5	2.9		0.97	1.4	0.00	15.9	0.53	5.5	0.31	3.4	0.35	0.9	0.22	1.1	1.28	1.3	0.22	5.37
27	DeMar DeRozan	SF,PF	CHI	16	34.2	0.524	8.8	16.8		1.63	0.885	7.3	8.2		2.88	0.3	-1.17	25.2	1.82	3.9	-0.31	4.3	0.79	1.0	0.44	0.4	-0.21	2.1	-0.65	5.22
28	Paul George	SF,PF	LAC	16	34.3	0.458	8.3	18.0		-0.30	0.852	4.3	5.1		1.21	2.8	1.51	23.6	1.59	6.0	0.50	4.3	0.79	1.6	1.74	0.4	-0.21	3.6	-2.26	4.58
29	Jalen Brunson	PG,SG	NYK	16	32.7	0.477	7.0	14.7		0.23	0.898	4.4	4.9		1.91	1.2	-0.22	19.6	1.04	3.7	-0.39	6.8	2.03	1.3	1.09	0.1	-0.85	1.8	-0.32	4.51
30	Domantas Sabonis	PF,C	SAC	14	31.7	0.583	6.3	10.8		2.17	0.748	4.9	6.5		-0.70	0.3	-1.19	17.7	0.78	10.8	2.36	5.9	1.58	0.9	0.22	0.5	0.00	2.3	-0.86	4.36
31 Jrue Holiday	PG,SG	MIL	11	32.2	0.439	7.2	16.4		-0.82	0.855	2.2	2.6		0.64	2.2	0.83	18.7	0.92	5.5	0.31	7.5	2.37	1.5	1.52	0.6	0.21	3.1	-1.72	4.27
32	Pascal Siakam	PF,C	TOR	9	35.6	0.479	8.9	18.6		0.35	0.725	5.6	7.7		-1.41	1.4	0.04	24.8	1.76	9.3	1.78	7.7	2.47	0.9	0.22	0.6	0.21	2.7	-1.29	4.14
33	Tobias Harris	SF,PF	PHI	14	33.7	0.461	5.6	12.1		-0.12	0.777	1.5	1.9		-0.02	2.1	0.72	14.7	0.36	6.2	0.58	2.9	0.10	1.6	1.74	0.6	0.21	1.1	0.43	4.01
34	Bol Bol	PF,C	ORL	17	25.6	0.618	5.4	8.7		2.28	0.830	1.8	2.1		0.36	0.8	-0.62	13.3	0.17	8.2	1.36	0.6	-1.04	0.2	-1.31	2.0	3.20	1.9	-0.43	3.97
35	Andrew Wiggins	SF,PF	GSW	15	33.1	0.493	7.0	14.2		0.62	0.687	1.6	2.3		-0.73	2.5	1.21	18.1	0.83	5.6	0.35	2.3	-0.20	1.2	0.87	0.9	0.85	1.4	0.11	3.92
36	Trae Young	PG	ATL	15	35.2	0.394	8.8	22.3		-2.87	0.897	7.5	8.3		3.25	2.3	0.93	27.3	2.11	3.3	-0.54	9.5	3.36	0.9	0.22	0.2	-0.64	3.3	-1.94	3.87
37	Damian Lillard	PG	POR	11	35.2	0.422	7.6	18.1		-1.43	0.875	7.6	8.7		2.77	3.4	2.10	26.3	1.97	4.3	-0.15	7.0	2.13	0.5	-0.65	0.3	-0.43	3.8	-2.47	3.82
38	Ja Morant	PG	MEM	14	33.0	0.465	9.9	21.4		-0.13	0.792	6.8	8.6		0.35	1.9	0.57	28.6	2.29	6.2	0.58	7.1	2.17	1.1	0.65	0.4	-0.21	3.8	-2.47	3.80
39	Jarrett Allen	C	CLE	13	33.5	0.570	5.9	10.4		1.86	0.775	2.6	3.4		-0.05	0.0	-1.50	14.5	0.33	11.5	2.63	1.2	-0.74	0.4	-0.87	1.5	2.14	1.5	0.00	3.80
40	Darius Garland	PG	CLE	9	36.1	0.428	8.0	18.7		-1.28	0.776	4.2	5.4		-0.08	3.3	2.06	23.6	1.59	2.3	-0.93	7.8	2.52	1.8	2.18	0.3	-0.43	3.4	-2.04	3.60
41	Buddy Hield	SG,SF	IND	15	31.4	0.442	6.3	14.3		-0.64	0.905	1.3	1.5		0.61	4.0	2.78	18.0	0.82	4.9	0.08	3.0	0.15	0.9	0.22	0.5	0.00	1.9	-0.43	3.58
42	Rudy Gobert	C	MIN	14	32.0	0.620	5.0	8.1		2.15	0.692	3.7	5.4		-1.57	0.0	-1.50	13.7	0.22	12.6	3.06	1.0	-0.84	0.8	0.00	1.4	1.92	1.4	0.11	3.55
43	Chris Paul	PG	PHX	10	30.2	0.368	2.8	7.6		-1.27	0.882	3.0	3.4		1.16	0.9	-0.53	9.5	-0.36	4.5	-0.08	9.4	3.31	1.7	1.96	0.2	-0.64	1.5	0.00	3.55
44	Bam Adebayo	C	MIA	14	35.0	0.531	7.4	14.0		1.53	0.854	4.2	4.9		1.22	0.0	-1.50	19.1	0.97	9.1	1.70	3.4	0.35	1.2	0.87	0.8	0.64	3.6	-2.26	3.52
45	Jaylen Brown	SG,SF	BOS	15	35.9	0.489	9.5	19.5		0.72	0.797	3.9	4.9		0.28	2.3	0.93	25.3	1.83	6.9	0.85	3.5	0.40	1.1	0.65	0.4	-0.21	3.3	-1.94	3.51
46	Spencer Dinwiddie	PG,SG	DAL	15	33.1	0.465	6.3	13.6		-0.05	0.818	1.8	2.2		0.28	3.0	1.71	17.5	0.75	3.3	-0.54	4.9	1.09	1.3	1.09	0.1	-0.85	1.5	0.00	3.47
47	Tyler Herro	PG,SG	MIA	10	31.4	0.468	7.2	15.4		-0.01	0.903	2.8	3.1		1.28	2.4	1.07	19.6	1.04	6.4	0.66	2.6	-0.05	0.7	-0.22	0.6	0.21	2.1	-0.65	3.34
48	Nikola Vucevic	C	CHI	16	31.2	0.464	5.9	12.8		-0.08	0.879	2.3	2.6		0.85	1.6	0.25	15.8	0.51	11.7	2.71	2.9	0.10	0.3	-1.09	0.9	0.85	2.3	-0.86	3.24
49	Clint Capela	C	ATL	16	27.2	0.626	5.3	8.4		2.33	0.532	1.0	1.9		-1.56	0.0	-1.50	11.5	-0.08	11.7	2.71	0.7	-0.99	0.6	-0.44	1.5	2.14	1.0	0.54	3.15
50	Anfernee Simons	PG,SG	POR	14	35.5	0.416	7.6	18.4		-1.65	0.868	3.3	3.8		1.11	3.9	2.71	22.5	1.44	3.2	-0.58	4.0	0.64	1.1	0.65	0.2	-0.64	2.1	-0.65	3.04
51	Jaren Jackson Jr	PF,C	MEM	2	25.0	0.333	5.0	15.0		-3.48	0.692	4.5	6.5		-1.90	1.5	0.11	16.0	0.54	9.0	1.67	0.0	-1.33	1.0	0.44	4.0	7.48	2.0	-0.54	2.97
52	Evan Mobley	PF,C	CLE	15	34.5	0.568	6.4	11.3		1.97	0.697	2.6	3.7		-1.03	0.1	-1.36	15.5	0.47	8.2	1.36	2.3	-0.20	0.9	0.22	1.5	2.14	2.1	-0.65	2.92
53	Kyle Lowry	PG	MIA	16	36.3	0.405	4.3	10.6		-1.13	0.864	3.2	3.7		1.04	2.4	1.05	14.2	0.29	4.8	0.04	6.1	1.68	1.1	0.65	0.6	0.21	2.4	-0.97	2.87
54	Brandon Ingram	SG,SF,PF	NOP	12	33.4	0.464	7.6	16.3		-0.10	0.825	3.9	4.8		0.72	2.0	0.64	21.1	1.25	5.3	0.23	4.5	0.89	0.8	0.00	0.8	0.64	2.8	-1.40	2.87
55	CJ McCollum	PG,SG	NOP	16	36.0	0.405	7.4	18.4		-2.01	0.793	1.7	2.1		0.10	2.4	1.05	18.9	0.94	5.2	0.19	6.4	1.83	1.3	1.09	0.6	0.21	2.1	-0.65	2.75
56	Devin Vassell	SG,SF	SAS	12	31.7	0.469	7.6	16.2		0.03	0.756	2.1	2.8		-0.22	3.2	1.89	20.4	1.15	3.8	-0.35	3.3	0.30	0.8	0.00	0.5	0.00	1.6	-0.11	2.69
57	John Collins	PF,C	ATL	16	31.7	0.493	4.8	9.6		0.45	0.920	2.2	2.4		1.11	0.7	-0.76	12.4	0.04	7.9	1.24	1.1	-0.79	0.7	-0.22	1.3	1.71	1.6	-0.11	2.68
58	Al Horford	PF,C	BOS	13	31.4	0.563	4.5	7.9		1.34	0.613	0.4	0.6		-0.35	2.2	0.80	11.5	-0.08	6.9	0.85	2.4	-0.15	0.4	-0.87	0.7	0.43	0.9	0.65	2.61
59	LeBron James	SF,PF	LAL	10	35.7	0.457	10.0	21.9		-0.45	0.667	3.2	4.8		-1.82	1.7	0.32	24.9	1.78	8.8	1.59	6.9	2.08	1.1	0.65	0.7	0.43	3.4	-2.04	2.53
60	Larry Nance Jr	PF,C	NOP	15	23.7	0.685	4.5	6.5		2.48	0.805	1.1	1.3		0.11	0.3	-1.14	10.3	-0.25	5.9	0.46	2.2	-0.25	0.9	0.22	0.7	0.43	1.1	0.43	2.49
61	Marcus Morris Sr.	PF,C	LAC	15	31.2	0.500	5.9	11.7		0.68	0.839	0.7	0.9		0.17	2.3	0.99	14.8	0.37	5.5	0.31	2.3	-0.20	0.8	0.00	0.3	-0.43	1.0	0.54	2.44
62	Jerami Grant	PF	POR	15	36.0	0.480	6.5	13.6		0.30	0.750	4.0	5.3		-0.53	2.7	1.36	19.7	1.05	4.7	0.00	2.5	-0.10	0.8	0.00	0.9	0.85	2.0	-0.54	2.40
63	Derrick White	PG,SG	BOS	16	26.6	0.471	3.6	7.6		0.07	0.891	1.6	1.8		0.65	1.8	0.37	10.4	-0.24	3.3	-0.54	3.4	0.35	0.8	0.00	0.9	0.85	0.7	0.86	2.38
64	Dennis Smith Jr	PG	CHA	13	29.4	0.464	4.5	9.6		-0.05	0.541	0.5	0.9		-0.68	0.8	-0.67	10.2	-0.26	3.6	-0.43	6.2	1.73	2.0	2.61	0.6	0.21	1.6	-0.11	2.36
65	Kevin Huerter	SG,SF	SAC	14	31.8	0.497	5.4	10.9		0.57	0.665	1.6	2.4		-0.90	3.6	2.40	16.1	0.55	2.8	-0.74	3.4	0.35	0.9	0.22	0.4	-0.21	1.4	0.11	2.34
66	Wendell Carter Jr	PF,C	ORL	15	32.8	0.518	5.8	11.2		0.99	0.826	3.8	4.6		0.71	1.2	-0.21	16.6	0.62	9.1	1.70	3.3	0.30	0.5	-0.65	0.5	0.00	2.6	-1.18	2.27
67	Kentavious Caldwell-Pope	SG,SF	DEN	14	31.2	0.509	4.4	8.7		0.64	0.775	1.0	1.3		-0.02	2.5	1.18	12.4	0.04	3.4	-0.50	2.5	-0.10	1.3	1.09	0.3	-0.43	1.2	0.32	2.22
68	Alperen Sengun	C	HOU	14	26.6	0.544	5.6	10.4		1.39	0.789	4.0	5.1		0.15	0.3	-1.19	15.6	0.49	8.5	1.47	2.0	-0.35	0.6	-0.44	1.1	1.28	2.1	-0.65	2.17
69	Trey Murphy	SF,PF	NOP	16	27.1	0.485	3.9	8.0		0.27	0.949	1.3	1.4		0.78	2.3	0.91	11.3	-0.11	4.4	-0.12	1.3	-0.69	1.0	0.44	0.4	-0.21	0.7	0.86	2.12
70	Tyrese Maxey	PG,SG	PHI	15	36.4	0.462	8.4	18.2		-0.21	0.739	3.2	4.3		-0.59	2.9	1.57	22.9	1.50	3.5	-0.46	4.4	0.84	1.0	0.44	0.3	-0.43	2.0	-0.54	2.12
71	Delon Wright	PG,SG	WAS	4	22.7	0.391	2.3	5.8		-0.72	0.600	0.8	1.3		-0.75	0.5	-0.96	5.8	-0.87	2.5	-0.85	3.3	0.30	2.8	4.36	1.0	1.07	1.0	0.54	2.10
72	Michael Porter Jr	SF,PF	DEN	14	28.6	0.461	5.9	12.9		-0.14	0.872	1.4	1.6		0.50	3.2	1.94	16.5	0.61	5.9	0.46	1.4	-0.64	0.6	-0.44	0.2	-0.64	1.1	0.43	2.09
73	Jakob Poeltl	C	SAS	17	28.5	0.642	6.0	9.4		2.84	0.520	1.6	3.1		-2.66	0.0	-1.50	13.6	0.21	9.8	1.97	3.6	0.44	0.9	0.22	1.1	1.28	2.3	-0.86	1.95
74	Zion Williamson	PF,C	NOP	11	32.2	0.566	9.0	15.9		2.69	0.716	5.3	7.4		-1.57	0.3	-1.21	23.5	1.58	6.4	0.66	3.9	0.59	1.1	0.65	0.4	-0.21	2.7	-1.29	1.89
75	Bojan Bogdanovic	SF,PF	DET	17	31.6	0.502	6.8	13.5		0.80	0.870	4.4	5.0		1.50	2.6	1.27	20.5	1.17	3.6	-0.43	2.4	-0.15	0.5	-0.65	0.0	-1.07	2.1	-0.65	1.80
76	Aleksej Pokuševski	SF,PF,C	OKL	14	23.0	0.491	3.9	8.0		0.35	0.538	0.5	0.9		-0.75	1.4	0.03	9.8	-0.32	5.2	0.19	1.6	-0.54	0.7	-0.22	1.9	2.99	1.5	0.00	1.74
77	Cameron Johnson	SF,PF	PHX	8	25.3	0.446	4.6	10.4		-0.37	0.725	1.0	1.4		-0.26	2.8	1.44	13.0	0.12	3.4	-0.50	1.8	-0.44	1.1	0.65	0.4	-0.21	0.3	1.29	1.73
