PLAYER	POS	TEAM	GP	MPG	FG%	FGM	FGA	zFG%	FT%	FTM	FTA	zFT%	3PM	z3PM	PTS	zPTS	REB	zREB	AST	zAST	STL	zSTL	BLK	zBLK	TO	zTO	TOTAL
1	James Harden	PG,SG	BRO	3	40.0	0.443	9.0	20.3	-0.41	0.936	9.7	10.3	3.36	0.7 -0.54	28.3 2.17	11.7 2.54	13.3 4.91	1.3 0.74	1.3 1.49	4.3 -2.70	11.56	2	Giannis Antetokounmpo	PF,C	MIL	3	38.2	0.617	12.3	20.0	3.10	0.819	6.0	7.3	0.59	1.3 0.03	32.0 2.66	13.7 3.24	8.7 2.91	1.3 0.74	0.7 0.50	4.3 -2.70	11.06	3	Jimmy Butler	SF,PF	MIA	4	34.3	0.571	10.0	17.5	1.94	0.871	6.8	7.8	1.47	0.5 -0.69	27.3 2.04	7.3 0.99	5.8 1.65	3.0 3.25	0.5 0.17	1.8 -0.45	10.36	4 1	Damian Lillard	PG	POR	4	37.8	0.537	11.0	20.5	1.52	0.952	10.0	10.5	3.77	5.3 3.40	37.3 3.35	6.0 0.53	6.0 1.74	0.0 -1.18	0.3 -0.17	4.5 -2.88	10.09	5 1	Luka Doncic	PG,SG	DAL	3	38.0	0.478	10.7	22.3	0.33	0.734	3.7	5.0	-0.48	4.3 2.61	29.3 2.30	7.0 0.88	12.3 4.47	1.7 1.33	0.7 0.50	4.7 -3.06	8.89	6 5	Robert Williams	C	BOS	3	25.6	0.834	6.7	8.0	3.08	0.599	1.0	1.7	-0.63	0.0 -1.12	14.3 0.33	12.0 2.65	1.7 -0.13	1.0 0.30	3.0 4.32	1.7 -0.36	8.43	7 3	Nikola Jokic	PF,C	DEN	4	33.8	0.541	10.0	18.5	1.46	0.778	3.5	4.5	-0.02	1.0 -0.26	24.5 1.67	11.8 2.57	8.3 2.74	1.5 1.03	0.3 -0.17	2.0 -0.63	8.40	8	Zach LaVine	SG,SF	CHI	4	35.0	0.612	10.3	16.8	2.54	0.833	3.8	4.5	0.50	4.3 2.54	28.5 2.20	5.5 0.35	4.3 1.00	0.5 -0.44	1.0 1.00	2.8 -1.35	8.34	9 2	Joel Embiid	PF,C	PHI	1	20.4	0.727	8.0	11.0	3.00	1.000	6.0	6.0	2.75	1.0 -0.26	23.0 1.47	7.0 0.88	3.0 0.43	0.0 -1.18	2.0 2.66	3.0 -1.53	8.22	10 4	Karl-Anthony Towns	C	MIN	4	36.4	0.575	10.5	18.3	2.09	0.767	5.8	7.5	-0.21	2.5 1.03	29.3 2.30	8.5 1.41	6.8 2.08	1.0 0.30	1.3 1.49	4.3 -2.70	7.80
11	Domantas Sabonis	PF,C	IND	4	36.9	0.580	7.3	12.5	1.53	0.714	2.5	3.5	-0.48	0.5 -0.69	17.5 0.75	11.8 2.57	9.8 3.39	2.0 1.77	0.8 0.66	3.5 -1.98	7.54	12 3	Stephen Curry	PG,SG	GSW	3	31.6	0.473	8.7	18.3	0.21	0.927	4.3	4.7	1.43	4.0 2.33	25.7 1.83	4.3 -0.07	6.3 1.87	1.7 1.33	0.0 -0.66	2.3 -0.90	7.35	13 4	Tobias Harris	SF,PF	PHI	4	33.5	0.493	9.0	18.3	0.58	1.000	2.0	2.0	0.92	1.5 0.17	21.5 1.28	8.0 1.23	4.0 0.87	1.5 1.03	1.3 1.49	1.8 -0.45	7.12	14 6	Richaun Holmes	PF,C	SAC	3	34.3	0.609	8.3	13.7	2.07	0.717	1.7	2.3	-0.31	0.0 -1.12	18.3 0.85	11.3 2.40	2.3 0.13	0.7 -0.15	2.3 3.15	1.3 0.00	7.03	15 7	Rudy Gobert	C	UTA	4	32.8	0.667	5.5	8.3	1.78	0.556	5.0	9.0	-4.20	0.0 -1.12	16.0 0.55	16.5 4.23	0.8 -0.52	1.0 0.30	4.0 5.98	1.5 -0.18	6.82	16 3	Jayson Tatum	SF,PF	BOS	3	34.1	0.492	10.7	21.7	0.64	0.777	2.3	3.0	-0.02	3.3 1.75	27.0 2.00	5.7 0.42	4.0 0.87	2.0 1.77	0.3 -0.17	2.0 -0.63	6.64	17 1	Terrence Ross	SG,SF	ORL	1	33.9	0.526	10.0	19.0	1.23	0.750	3.0	4.0	-0.25	8.0 5.77	31.0 2.52	5.0 0.18	3.0 0.43	0.0 -1.18	0.0 -0.66	3.0 -1.53	6.51	18 4	LeBron James	PG,SG,SF	LAL	4	33.1	0.565	8.8	15.5	1.63	0.750	5.3	7.0	-0.44	2.8 1.25	25.5 1.80	8.3 1.34	9.8 3.39	0.5 -0.44	0.5 0.17	4.0 -2.43	6.26	19 9	Evan Fournier	SG,SF	ORL	1	34.2	0.429	9.0	21.0	-0.72	1.000	1.0	1.0	0.46	4.0 2.33	23.0 1.47	1.0 -1.23	4.0 0.87	2.0 1.77	1.0 1.00	1.0 0.27	6.21	20 2	Draymond Green	PF,C	GSW	3	32.4	0.571	4.0	7.0	0.87	1.000	1.0	1.0	0.46	0.7 -0.54	9.7 -0.28	10.0 1.94	9.7 3.34	1.7 1.33	0.7 0.50	3.0 -1.53	6.09
21	Kelly Olynyk	PF,C	MIA	4	30.1	0.514	4.5	8.8	0.54	0.833	1.3	1.5	0.17	1.3 -0.04	11.5 -0.04	7.5 1.06	3.3 0.56	2.0 1.77	1.3 1.49	0.8 0.45	5.97	22 10	Nikola Vucevic	C	ORL	3	34.4	0.539	11.7	21.7	1.65	0.670	0.7	1.0	-0.23	3.0 1.46	27.0 2.00	11.7 2.54	4.3 1.00	1.0 0.30	0.7 0.50	5.0 -3.33	5.89	23	Chris Paul	PG	PHX	3	31.3	0.514	6.0	11.7	0.67	0.835	1.7	2.0	0.23	0.7 -0.54	14.3 0.33	4.7 0.07	7.3 2.30	4.0 4.73	0.0 -0.66	2.7 -1.26	5.86	24 3	Julius Randle	PF,C	NYK	4	40.1	0.444	9.0	20.3	-0.37	0.667	4.0	6.0	-1.42	2.0 0.60	24.0 1.60	12.3 2.75	10.8 3.82	1.5 1.03	0.0 -0.66	3.0 -1.53	5.84	25 4	Kawhi Leonard	SG,SF	LAC	3	35.5	0.500	9.0	18.0	0.69	0.700	2.3	3.3	-0.56	1.3 0.03	21.7 1.30	6.7 0.78	5.3 1.43	2.7 2.81	0.0 -0.66	1.3 0.00	5.82	26 4	Robert Covington	PF,C	POR	4	35.9	0.531	4.3	8.0	0.64	1.000	0.3	0.3	0.11	3.0 1.46	11.8 0.00	7.0 0.88	2.3 0.13	1.3 0.74	1.5 1.83	1.3 0.00	5.80	27 14	Russell Westbrook	PG	WAS	5	37.5	0.482	10.8	22.4	0.42	0.667	6.0	9.0	-2.12	2.6 1.12	30.2 2.42	9.8 1.87	12.0 4.34	1.4 0.89	0.4 0.00	4.8 -3.15	5.79	28 1	Kristaps Porzingis	PF,C	DAL	3	31.7	0.558	8.0	14.3	1.42	0.493	0.3	0.7	-0.40	3.0 1.46	19.3 0.99	8.7 1.48	0.3 -0.74	0.3 -0.74	2.0 2.66	1.7 -0.36	5.77	29 5	Norman Powell	SG,SF	TOR	3	34.1	0.574	10.3	18.0	2.03	0.750	4.0	5.3	-0.33	4.7 2.90	29.3 2.30	3.3 -0.42	2.3 0.13	1.3 0.74	0.3 -0.17	3.0 -1.53	5.66	30 7	John Collins	PF,C	ATL	4	30.4	0.537	7.3	13.5	1.06	0.833	3.8	4.5	0.50	1.0 -0.26	19.3 0.99	7.5 1.06	1.0 -0.43	0.5 -0.44	2.0 2.66	0.8 0.45	5.58
31	Josh Richardson	SG,SF	DAL	3	34.8	0.501	4.7	9.3	0.44	1.000	2.0	2.0	0.92	2.0 0.60	13.3 0.20	4.0 -0.18	2.7 0.30	2.3 2.22	0.7 0.50	1.0 0.27	5.27	32 7	Bradley Beal	SG,SF	WAS	4	36.4	0.645	12.3	19.0	3.49	0.840	5.3	6.3	0.78	2.3 0.82	32.0 2.66	4.0 -0.18	4.0 0.87	0.3 -0.74	0.0 -0.66	3.3 -1.80	5.24	33 2	Will Barton	SG,SF	DEN	4	34.7	0.484	7.5	15.5	0.37	0.833	2.5	3.0	0.33	4.3 2.54	21.8 1.31	3.8 -0.25	3.8 0.78	1.3 0.74	0.5 0.17	2.3 -0.90	5.10	34 11	Michael Porter Jr.	SF,PF	DEN	4	29.3	0.648	8.8	13.5	2.57	0.765	3.3	4.3	-0.14	2.3 0.82	23.0 1.47	9.5 1.76	0.5 -0.65	0.0 -1.18	0.5 0.17	1.0 0.27	5.09	35 19	Saddiq Bey	SF	DET	3	31.2	0.455	5.0	11.0	-0.02	0.901	3.0	3.3	0.84	3.0 1.46	16.0 0.55	6.3 0.63	1.3 -0.30	1.0 0.30	0.7 0.50	0.3 0.90	4.86	36 1	Zion Williamson	PF	NOP	4	29.6	0.636	10.5	16.5	2.91	0.800	5.0	6.3	0.26	0.0 -1.12	26.0 1.87	5.8 0.46	4.0 0.87	0.5 -0.44	0.8 0.66	2.0 -0.63	4.84	37 11	Kyrie Irving	PG	BRO	2	36.3	0.583	10.5	18.0	2.20	0.750	3.0	4.0	-0.25	2.0 0.60	26.0 1.87	2.5 -0.71	4.5 1.09	2.0 1.77	0.5 0.17	3.5 -1.98	4.77	38 9	Myles Turner	PF,C	IND	4	28.2	0.467	3.5	7.5	0.13	0.818	2.3	2.8	0.22	1.0 -0.26	10.3 -0.20	6.5 0.71	1.5 -0.22	0.5 -0.44	3.3 4.81	1.3 0.00	4.75	39 5	Lonzo Ball	PG,SG	NOP	4	32.3	0.450	4.5	10.0	-0.05	1.000	0.3	0.3	0.11	3.0 1.46	12.3 0.07	4.8 0.11	9.0 3.04	1.3 0.74	0.5 0.17	2.3 -0.90	4.75	40 8	Joe Ingles	SG,SF	UTA	4	28.5	0.605	5.8	9.5	1.44	0.667	0.5	0.8	-0.18	4.0 2.33	16.0 0.55	4.5 0.00	3.5 0.65	0.8 0.00	0.3 -0.17	1.3 0.00	4.63
41	Deandre Ayton	C	PHX	3	27.9	0.703	6.3	9.0	2.26	0.717	1.7	2.3	-0.31	0.0 -1.12	14.3 0.33	9.3 1.69	0.7 -0.56	1.0 0.30	2.0 2.66	2.0 -0.63	4.62	42 20	Danilo Gallinari	SF,PF	ATL	4	29.2	0.522	6.0	11.5	0.75	0.929	3.3	3.5	1.08	2.8 1.25	18.0 0.82	6.8 0.81	0.5 -0.65	0.5 -0.44	0.5 0.17	0.5 0.72	4.50	43 16	Chris Boucher	PF,C	TOR	3	29.2	0.552	7.0	12.7	1.20	0.713	3.3	4.7	-0.65	0.7 -0.54	18.0 0.82	5.0 0.18	1.7 -0.13	0.3 -0.74	2.7 3.82	0.7 0.54	4.49	44 6	Donte DiVincenzo	PG,SG	MIL	3	32.8	0.485	5.3	11.0	0.31	0.752	1.0	1.3	-0.08	2.3 0.89	14.0 0.29	9.3 1.69	4.7 1.17	2.0 1.77	0.0 -0.66	2.3 -0.90	4.49	45 1	Mike Conley	PG	UTA	3	32.0	0.564	7.3	13.0	1.38	1.000	2.3	2.3	1.07	3.0 1.46	20.0 1.08	2.0 -0.88	5.0 1.30	0.7 -0.15	0.3 -0.17	2.0 -0.63	4.47	46 9	Danny Green	SG,SF	PHI	4	27.7	0.419	4.5	10.8	-0.40	0.000	0.0	0.0	0.00	3.3 1.68	12.3 0.07	4.5 0.00	1.5 -0.22	1.8 1.48	1.3 1.49	1.0 0.27	4.37	47 6	Jaylen Brown	SG,SF	BOS	3	35.0	0.525	10.7	20.3	1.27	0.625	3.3	5.3	-1.72	2.0 0.60	26.7 1.96	3.3 -0.42	3.7 0.74	1.7 1.33	1.3 1.49	2.3 -0.90	4.35	48 10	Carmelo Anthony	SF,PF	POR	4	28.7	0.471	6.0	12.8	0.16	1.000	2.8	2.8	1.26	1.8 0.39	16.5 0.62	3.0 -0.53	4.8 1.22	1.0 0.30	0.8 0.66	1.0 0.27	4.34	49 12	Montrezl Harrell	PF,C	LAL	4	27.0	0.681	8.0	11.8	2.64	0.667	3.0	4.5	-1.06	0.0 -1.12	19.0 0.95	6.5 0.71	2.0 0.00	1.3 0.74	1.0 1.00	0.8 0.45	4.30	50 1	Brook Lopez	C	MIL	3	32.2	0.515	5.7	11.0	0.65	0.802	2.7	3.3	0.15	1.7 0.32	15.7 0.51	6.3 0.63	2.0 0.00	0.7 -0.15	1.7 2.16	1.3 0.00	4.28
51	Andrew Wiggins	SG,SF	GSW	3	30.9	0.590	7.7	13.0	1.72	0.717	1.7	2.3	-0.31	3.0 1.46	20.0 1.08	4.0 -0.18	1.3 -0.30	1.7 1.33	0.3 -0.17	1.7 -0.36	4.28	52 20	Luke Kennard	SG,SF	LAC	1	19.3	0.600	6.0	10.0	1.46	0.000	0.0	0.0	0.00	3.0 1.46	15.0 0.42	2.0 -0.88	4.0 0.87	1.0 0.30	0.0 -0.66	0.0 1.17	4.13	53 20	Malcolm Brogdon	PG,SG	IND	4	35.2	0.565	9.8	17.3	1.80	0.800	3.0	3.8	0.16	3.0 1.46	25.5 1.80	5.5 0.35	4.3 1.00	0.8 0.00	0.0 -0.66	3.3 -1.80	4.11	54 11	Kyle Lowry	PG	TOR	3	34.4	0.326	5.0	15.3	-2.07	1.000	4.0	4.0	1.83	1.7 0.32	15.7 0.51	5.7 0.42	10.3 3.60	1.7 1.33	0.0 -0.66	2.7 -1.26	4.03	55 11	Reggie Bullock	SG,SF	NYK	4	36.0	0.489	5.8	11.8	0.38	1.000	0.3	0.3	0.11	4.5 2.76	16.3 0.59	4.0 -0.18	1.3 -0.30	1.5 1.03	0.0 -0.66	1.0 0.27	4.00	56 10	De'Aaron Fox	PG	SAC	3	37.9	0.448	10.0	22.3	-0.35	0.781	8.3	10.7	0.02	1.3 0.03	29.7 2.35	4.0 -0.18	7.0 2.17	2.0 1.77	0.0 -0.66	2.7 -1.26	3.89	57 21	Donovan Mitchell	PG,SG	UTA	4	35.9	0.437	9.5	21.8	-0.58	0.833	6.3	7.5	0.83	3.5 1.90	28.8 2.24	3.3 -0.42	5.8 1.65	1.0 0.30	0.3 -0.17	3.5 -1.98	3.77	58 5	Terry Rozier	PG,SG	CHA	4	30.2	0.429	6.8	15.8	-0.51	0.944	4.3	4.5	1.54	3.3 1.68	21.0 1.21	4.0 -0.18	3.3 0.56	1.0 0.30	0.0 -0.66	1.5 -0.18	3.76	59 10	Gordon Hayward	SG,SF	CHA	4	31.3	0.500	4.8	9.5	0.44	1.000	1.5	1.5	0.69	1.0 -0.26	12.0 0.03	7.0 0.88	6.3 1.87	1.8 1.48	0.3 -0.17	2.8 -1.35	3.61	60 7	Anthony Edwards	SG	MIN	4	35.7	0.484	11.5	23.8	0.49	0.667	4.5	6.8	-1.59	4.0 2.33	31.5 2.59	5.8 0.46	2.3 0.13	1.3 0.74	0.0 -0.66	2.3 -0.90	3.58
61	Kevin Huerter	SG,SF	ATL	4	28.2	0.459	4.3	9.3	0.05	0.750	0.8	1.0	-0.06	2.3 0.82	11.5 -0.04	4.5 0.00	3.5 0.65	1.8 1.48	0.5 0.17	0.8 0.45	3.51	62 19	Duncan Robinson	SG,SF	MIA	4	31.0	0.422	4.8	11.3	-0.39	0.667	0.5	0.8	-0.18	4.0 2.33	14.0 0.29	4.3 -0.07	1.5 -0.22	1.8 1.48	0.0 -0.66	0.3 0.90	3.47	63 4	Ricky Rubio	PG	MIN	4	29.8	0.500	3.8	7.5	0.38	0.850	4.3	5.0	0.73	0.8 -0.47	12.5 0.09	3.0 -0.53	8.0 2.61	2.0 1.77	0.0 -0.66	1.8 -0.45	3.46	64 6	Jonas Valanciunas	C	MEM	4	29.2	0.692	6.8	9.8	2.33	0.583	1.8	3.0	-1.23	0.0 -1.12	15.3 0.46	13.5 3.17	1.3 -0.30	1.3 0.74	0.0 -0.66	1.3 0.00	3.39	65 8	LaMelo Ball	PG,SG	CHA	4	28.1	0.527	7.3	13.8	0.94	0.800	3.0	3.8	0.16	2.3 0.82	19.8 1.05	4.8 0.11	4.8 1.22	1.0 0.30	0.3 -0.17	2.5 -1.08	3.34	66 12	Moses Brown	C	OKL	4	26.0	0.588	5.0	8.5	1.16	0.700	1.8	2.5	-0.42	0.0 -1.12	11.8 0.00	8.3 1.34	0.3 -0.74	0.8 0.00	2.0 2.66	0.8 0.45	3.33	67 15	Brandon Ingram	SF,PF	NOP	4	30.6	0.507	8.8	17.3	0.80	0.818	4.5	5.5	0.44	3.0 1.46	25.0 1.74	5.3 0.28	3.8 0.78	0.3 -0.74	0.3 -0.17	2.8 -1.35	3.24	68 12	Delon Wright	PG,SG,SF	DET	3	33.5	0.485	5.3	11.0	0.31	0.717	1.7	2.3	-0.31	0.7 -0.54	13.0 0.16	6.3 0.63	7.0 2.17	2.3 2.22	0.3 -0.17	2.7 -1.26	3.22	69 5	PJ Washington	SF,PF,C	CHA	4	28.8	0.515	4.3	8.3	0.53	1.000	1.0	1.0	0.46	2.3 0.82	11.8 0.00	5.5 0.35	2.3 0.13	0.8 0.00	1.5 1.83	2.5 -1.08	3.03	70 19	Matisse Thybulle	SG,SF	PHI	4	18.8	0.529	2.3	4.3	0.40	0.000	0.0	0.0	0.00	0.8 -0.47	5.3 -0.85	2.5 -0.71	1.3 -0.30	2.3 2.22	1.5 1.83	0.3 0.90	3.01
71	Devin Booker	SG,SF	PHX	3	33.9	0.525	10.7	20.3	1.27	0.848	3.7	4.3	0.61	2.3 0.89	27.3 2.04	4.0 -0.18	6.0 1.74	0.0 -1.18	0.7 0.50	4.3 -2.70	2.99	72 10	Al Horford	PF,C	OKL	2	25.8	0.455	5.0	11.0	-0.02	1.000	1.5	1.5	0.69	2.0 0.60	13.5 0.22	5.5 0.35	1.0 -0.43	1.0 0.30	1.0 1.00	1.0 0.27	2.97	73 3	Rui Hachimura	SF,PF	WAS	5	34.6	0.530	7.0	13.2	0.95	0.857	2.4	2.8	0.45	1.4 0.09	17.8 0.79	6.8 0.81	1.2 -0.35	1.6 1.18	0.0 -0.66	1.8 -0.45	2.81	74 18	De'Anthony Melton	PG,SG	MEM	4	20.8	0.412	3.5	8.5	-0.35	1.000	1.0	1.0	0.46	1.3 -0.04	9.3 -0.33	4.3 -0.07	3.8 0.78	2.0 1.77	0.3 -0.17	0.5 0.72	2.78	75 5	RJ Barrett	SG,SF	NYK	4	38.4	0.478	8.0	16.8	0.28	0.741	5.0	6.8	-0.55	1.3 -0.04	22.3 1.38	7.0 0.88	3.0 0.43	1.3 0.74	0.3 -0.17	1.5 -0.18	2.77	76 23	Mason Plumlee	PF,C	DET	3	25.5	0.546	4.0	7.3	0.71	0.601	2.0	3.3	-1.24	0.0 -1.12	10.0 -0.24	11.7 2.54	2.7 0.30	0.7 -0.15	1.0 1.00	0.3 0.90	2.70	77 8	Buddy Hield	SG,SF	SAC	3	34.8	0.372	5.3	14.3	-1.26	1.000	2.3	2.3	1.07	3.3 1.75	16.3 0.59	5.0 0.18	3.7 0.74	1.0 0.30	0.0 -0.66	1.3 0.00	2.69	78 18 Jrue Holiday	PG,SG	MIL	3	35.1	0.413	6.3	15.3	-0.73	1.000	3.3	3.3	1.52	1.3 0.03	17.3 0.72	6.7 0.78	4.3 1.00	1.7 1.33	0.3 -0.17	3.3 -1.80	2.69	79 14	Victor Oladipo	SG,SF	HOU	2	36.4	0.512	11.0	21.5	1.05	0.750	4.5	6.0	-0.37	3.5 1.90	30.0 2.39	4.5 0.00	4.5 1.09	0.0 -1.18	0.0 -0.66	3.0 -1.53	2.68	80 6	Kyle Kuzma	SF,PF	LAL	4	29.1	0.491	6.5	13.3	0.43	0.625	1.3	2.0	-0.65	3.0 1.46	17.3 0.72	6.5 0.71	2.3 0.13	0.8 0.00	0.3 -0.17	1.3 0.00	2.64
81	Kemba Walker	PG	BOS	2	29.9	0.407	5.5	13.5	-0.70	1.000	2.5	2.5	1.14	2.5 1.03	16.0 0.55	4.0 -0.18	5.0 1.30	1.5 1.03	0.0 -0.66	2.5 -1.08	2.45	82 14	Thaddeus Young	PF	CHI	4	25.3	0.540	6.8	12.5	1.03	1.000	0.5	0.5	0.23	0.0 -1.12	14.0 0.29	8.5 1.41	5.3 1.43	1.3 0.74	0.5 0.17	3.3 -1.80	2.38	83 14	Trae Young	PG	ATL	4	29.3	0.463	6.3	13.5	0.06	0.818	4.5	5.5	0.44	2.5 1.03	19.5 1.01	3.0 -0.53	9.5 3.26	0.5 -0.44	0.0 -0.66	3.3 -1.80	2.36	84 13	Lauri Markkanen	PF,C	CHI	4	32.7	0.426	5.8	13.5	-0.45	0.800	2.0	2.5	0.10	2.8 1.25	16.3 0.59	6.3 0.63	1.3 -0.30	0.3 -0.74	1.0 1.00	1.0 0.27	2.35	85 8	Bam Adebayo	PF,C	MIA	2	32.5	0.440	5.5	12.5	-0.23	0.778	3.5	4.5	-0.02	0.0 -1.12	14.5 0.35	10.5 2.12	6.0 1.74	0.5 -0.44	1.0 1.00	2.5 -1.08	2.31	86 3	Derrick White	PG,SG	SAS	4	26.9	0.413	4.8	11.5	-0.51	0.875	3.5	4.0	0.79	2.0 0.60	15.0 0.42	3.5 -0.35	3.3 0.56	0.5 -0.44	1.5 1.83	2.0 -0.63	2.27	87	Royce O'Neale	SF,PF	UTA	4	30.3	0.500	2.3	4.5	0.29	1.000	1.0	1.0	0.46	2.0 0.60	7.5 -0.57	6.0 0.53	3.3 0.56	1.3 0.74	0.3 -0.17	1.5 -0.18	2.27	88 8	Mikal Bridges	SG,SF	PHX	3	30.6	0.519	4.7	9.0	0.59	0.665	1.3	2.0	-0.48	2.0 0.60	12.7 0.12	2.7 -0.63	4.7 1.17	1.0 0.30	0.7 0.50	1.3 0.00	2.17	89 1	Enes Kanter	C	POR	4	30.0	0.581	4.5	7.8	1.01	0.824	3.5	4.3	0.39	0.0 -1.12	12.5 0.09	10.0 1.94	1.0 -0.43	1.0 0.30	0.5 0.17	1.5 -0.18	2.16	90 11	Ty Jerome	PG,SG	OKL	4	27.9	0.487	4.8	9.8	0.32	0.500	0.5	1.0	-0.58	3.0 1.46	13.0 0.16	3.3 -0.42	3.8 0.78	1.0 0.30	0.3 -0.17	1.0 0.27	2.12
91	Brandon Clarke	SF,PF	MEM	4	24.7	0.464	3.3	7.0	0.11	0.706	3.0	4.3	-0.66	0.5 -0.69	10.0 -0.24	3.8 -0.25	1.8 -0.09	1.0 0.30	2.0 2.66	0.3 0.90	2.05	92 8	Jakob Poeltl	C	SAS	4	28.3	0.656	5.3	8.0	1.65	0.500	1.3	2.5	-1.46	0.0 -1.12	11.8 0.00	10.5 2.12	2.8 0.35	0.5 -0.44	1.5 1.83	2.3 -0.90	2.02	93 18	Clint Capela	C	ATL	2	26.2	0.650	6.5	10.0	1.96	0.500	3.0	6.0	-3.50	0.0 -1.12	16.0 0.55	11.0 2.29	1.0 -0.43	0.0 -1.18	2.0 2.66	0.5 0.72	1.95	94 6	Dwight Howard	C	PHI	4	23.8	0.552	4.0	7.3	0.75	0.667	1.5	2.3	-0.53	0.0 -1.12	9.5 -0.30	11.3 2.40	0.8 -0.52	0.5 -0.44	1.5 1.83	1.5 -0.18	1.87	95 3	Harrison Barnes	SF,PF	SAC	3	37.1	0.500	5.0	10.0	0.45	0.907	3.3	3.7	0.97	0.7 -0.54	14.0 0.29	6.7 0.78	4.3 1.00	0.7 -0.15	0.0 -0.66	1.7 -0.36	1.78	96 17	Jordan Poole	PG,SG	GSW	3	22.2	0.513	6.3	12.3	0.69	0.777	2.3	3.0	-0.02	3.3 1.75	18.3 0.85	1.0 -1.23	2.0 0.00	0.7 -0.15	0.0 -0.66	0.7 0.54	1.76	97 24	Kevin Porter Jr.	SG,SF	HOU	4	36.3	0.434	8.3	19.0	-0.53	0.611	2.8	4.5	-1.58	2.0 0.60	21.3 1.25	3.3 -0.42	7.5 2.39	1.5 1.03	1.0 1.00	3.5 -1.98	1.75	98 5	Jamal Murray	PG,SG	DEN	4	33.3	0.340	4.5	13.3	-1.59	1.000	0.5	0.5	0.23	2.5 1.03	12.0 0.03	3.3 -0.42	5.8 1.65	1.8 1.48	0.0 -0.66	1.3 0.00	1.74	99 6	Caris LeVert	SG,SF	IND	3	29.9	0.415	5.7	13.7	-0.61	0.901	3.0	3.3	0.84	2.0 0.60	16.3 0.59	4.0 -0.18	3.0 0.43	1.7 1.33	0.0 -0.66	2.0 -0.63	1.72	100 12	Larry Nance Jr.	PF,C	CLE	4	32.1	0.545	4.5	8.3	0.78	0.750	1.5	2.0	-0.12	1.3 -0.04	11.8 0.00	6.8 0.81	2.5 0.22	1.0 0.30	0.8 0.66	2.3 -0.90	1.70
