PLAYER	POS	TEAM	GP	MPG	FG%	FGM	FGA	zFG%	FT%	FTM	FTA	zFT%	3PM	z3PM	PTS	zPTS	REB	zREB	AST	zAST	STL	zSTL	BLK	zBLK	TO	zTO	TOTAL
1	Nikola Jokic	C	DEN	70	32.0	0.605	8.2	13.6		4.21	0.876	4.0	4.6		1.99	0.6	-0.98	21.0	1.21	10.5	2.37	9.0	3.32	1.5	1.62	0.7	0.35	3.6	-2.39	11.70
2	Joel Embiid	PF,C	PHI	68	33.8	0.524	10.0	19.0		2.42	0.833	9.3	11.1		2.63	1.1	-0.40	30.3	2.64	10.7	2.48	3.9	0.60	1.0	0.30	1.8	3.10	3.6	-2.39	11.39
3	Kevin Durant	SF,PF	BRO	68	35.7	0.521	10.1	19.4		2.32	0.909	8.2	9.0		5.34	1.6	0.12	30.0	2.60	6.1	0.50	4.8	1.11	0.8	-0.24	1.2	1.61	3.4	-2.16	11.20
4	Stephen Curry	PG	GSW	64	34.4	0.480	10.3	21.5		0.61	0.923	5.4	5.9		3.85	5.1	4.00	31.1	2.77	6.1	0.51	6.5	2.00	1.0	0.32	0.1	-1.14	3.3	-1.97	10.96
5	Jayson Tatum	SF,PF	BOS	74	36.0	0.473	10.3	21.8		0.27	0.874	6.8	7.8		3.33	3.2	1.90	30.7	2.70	7.1	0.92	4.3	0.84	1.0	0.27	1.0	1.03	3.0	-1.63	9.63
6	Shai Gilgeous-Alexander	PG,SG	OKL	64	34.7	0.476	10.5	22.1		0.45	0.870	6.7	7.7		3.16	1.4	-0.09	29.2	2.47	5.1	0.09	5.9	1.70	1.6	1.91	0.8	0.63	2.9	-1.51	8.81
7	Donovan Mitchell	PG,SG	CLE	70	36.2	0.475	10.4	22.0		0.36	0.875	4.9	5.6		2.39	3.6	2.33	29.3	2.49	4.4	-0.21	5.8	1.63	1.4	1.43	0.4	-0.38	2.8	-1.47	8.57
8	Anthony Davis	PF,C	LAL	64	35.1	0.527	9.4	17.8		2.38	0.749	4.2	5.5		-0.87	0.3	-1.30	23.2	1.54	10.1	2.21	3.2	0.23	1.3	1.13	2.0	3.61	2.1	-0.68	8.25
9	Tyrese Haliburton	PG,SG	IND	75	34.7	0.483	7.0	14.5		0.54	0.846	3.4	4.0		1.19	2.8	1.46	20.2	1.08	4.1	-0.36	10.1	3.91	1.7	2.18	0.3	-0.61	3.0	-1.63	7.77
10	James Harden	PG,SG	PHI	54	36.4	0.451	6.3	14.0		-0.48	0.868	7.2	8.2		3.28	2.3	0.87	22.1	1.38	7.5	1.13	9.5	3.59	1.1	0.62	0.8	0.48	4.4	-3.27	7.59
11	Giannis Antetokounmpo	PF,C	MIL	68	32.8	0.566	11.3	20.0		4.41	0.691	7.6	11.0		-4.69	1.1	-0.41	31.3	2.80	12.1	3.06	5.4	1.42	1.1	0.59	1.5	2.45	3.4	-2.10	7.53
12	Myles Turner	C	IND	68	29.7	0.507	6.0	11.8		1.09	0.817	3.9	4.8		0.76	1.2	-0.31	17.1	0.60	8.9	1.72	1.2	-0.80	0.4	-1.29	2.9	5.90	1.9	-0.36	7.31
13	Fred VanVleet	PG	TOR	65	36.7	0.412	6.3	15.3		-1.89	0.836	3.0	3.5		0.88	3.5	2.22	19.1	0.91	4.2	-0.31	7.1	2.30	2.1	3.29	0.7	0.35	2.0	-0.52	7.22
14	Karl-Anthony Towns	PF,C	MIN	70	33.5	0.490	7.4	15.0		0.78	0.867	5.0	5.7		2.24	2.2	0.75	21.8	1.34	9.0	1.76	5.2	1.30	1.0	0.24	0.8	0.58	3.1	-1.80	7.20
15	Devin Booker	SG,SF	PHX	70	35.5	0.480	9.8	20.4		0.57	0.864	5.7	6.6		2.51	2.5	1.13	27.8	2.26	4.4	-0.20	5.6	1.54	1.1	0.54	0.5	-0.15	2.6	-1.16	7.03
16	Kyrie Irving	PG,SG	BRO	39	36.4	0.456	10.1	22.1		-0.59	0.912	4.1	4.4		2.68	2.8	1.46	27.0	2.13	4.2	-0.29	4.7	1.05	1.4	1.40	0.6	0.15	2.5	-1.06	6.93
17	Damian Lillard	PG	POR	60	35.5	0.460	9.0	19.5		-0.32	0.892	6.0	6.7		3.42	3.5	2.25	27.5	2.21	4.2	-0.30	6.3	1.90	0.9	-0.05	0.3	-0.58	3.0	-1.63	6.90
